"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"1","0",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"2","1.111e+09",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","3737040301","Cannonball Jellyfish",NA,NA,1,1,NA,1600,"Stomolophus meleagris",NA,NA,NA,NA,NA
"4","5.124e+09",NA,NA,NA,2287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","5509051200","Scallops",2078,148,1,397,1535,3289,"Argopecten spp.",NA,NA,NA,NA,NA
"6","5509051201","Atlantic Calico Scallop",3,NA,68,NA,NA,25,"Argopecten gibbus",NA,NA,NA,NA,NA
"7","5509051202","Bay Scallop",1593,NA,473,58,NA,2002,"Argopecten irradians",NA,NA,NA,NA,NA
"8","5515471100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"9","5515471101","Northern Quahog",NA,NA,NA,NA,NA,1,"Mercenaria mercenaria",NA,NA,NA,NA,NA
"10","5706010000","Squid",NA,NA,89,NA,NA,NA,"Loliginidae spp.",NA,NA,NA,NA,NA
"11","5706010100","Squid",NA,NA,11,NA,NA,NA,"Loligo spp.",NA,NA,NA,NA,NA
"12","5802010101","Horseshoe Crab",NA,21,892,2033,31,551,"Limulus polyphemus",NA,NA,NA,NA,NA
"13","6177010000","Penaeid Shrimps",1,NA,4,7,1,10,"Penaeidae spp.",NA,NA,NA,NA,NA
"14","6177010100","Commercial Shrimps",2443,NA,NA,NA,NA,28203,"Farfantepenaeus spp.",NA,NA,NA,NA,NA
"15","6177010101","Brown Shrimp",145,NA,NA,NA,NA,5622,"Farfantepenaeus aztecus",NA,NA,NA,NA,NA
"16","6177010102","Pink Shrimp",2082,412,99436,80561,2895,15418,"Farfantepenaeus duorarum",NA,NA,NA,NA,NA
"17","6177010103","White Shrimp",103,NA,NA,NA,NA,33379,"Litopenaeus setiferus",NA,NA,NA,NA,NA
"18","6177010120","Giant Tiger Prawn",NA,NA,1,NA,NA,1,"Penaeus monodon",NA,NA,NA,NA,NA
"19","6177010200",NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA
"20","6177010201","Roughneck Shrimp",22,NA,796,188,1,6585,"Rimapenaeus constrictus",NA,NA,NA,NA,NA
"21","6177010202","Yellow Roughneck Shrimp",NA,NA,NA,NA,NA,162,"Rimapenaeus similis",NA,NA,NA,NA,NA
"22","6177010701","Atlantic Seabob",NA,NA,NA,NA,NA,94,"Xiphopenaeus kroyeri",NA,NA,NA,NA,NA
"23","6177040100","Rock Shrimp",1,NA,55,8,NA,14,"Sicyonia spp.",NA,NA,NA,NA,NA
"24","6177040101","Rock Shrimp",4,NA,2,9,NA,10,"Sicyonia brevirostris",NA,NA,NA,NA,NA
"25","6177040102","Lesser Rock Shrimp",NA,NA,NA,NA,NA,47,"Sicyonia dorsalis",NA,NA,NA,NA,NA
"26","6177040103","Kinglet Rock Shrimp",2,NA,106,26,NA,25,"Sicyonia typica",NA,NA,NA,NA,NA
"27","6177040104","Hardback",2,NA,50,51,NA,36,"Sicyonia laevigata",NA,NA,NA,NA,NA
"28","6177040107",NA,NA,NA,12,1,NA,22,NA,NA,NA,NA,NA,NA
"29","6179110000",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"30","6179110100",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","6179110105","Red-algae Shrimp",NA,NA,18,6,NA,NA,"Leander paulensis",NA,NA,NA,NA,NA
"32","6179110200","Prawns",NA,NA,3,NA,NA,NA,"Macrobrachium spp.",NA,NA,NA,NA,NA
"33","6179110201","Ohio Shrimp",NA,NA,1,NA,NA,4,"Macrobrachium ohione",NA,NA,NA,NA,NA
"34","6179110300","Grass Shrimp",NA,NA,728,500,237,NA,"Palaemonetes spp.",NA,NA,NA,NA,NA
"35","6179110301","Brackish Grass Shrimp",NA,NA,655,2017,25146,NA,"Palaemonetes intermedius",NA,NA,NA,NA,NA
"36","6179110302","Eastern Grass Shrimp",NA,NA,NA,6,13,NA,"Palaemonetes paludosus",NA,NA,NA,NA,NA
"37","6179110303","Daggerblade Grass Shrimp",NA,NA,5134,60881,1297,NA,"Palaemonetes pugio",NA,NA,NA,NA,NA
"38","6179110304","Marsh Grass Shrimp",NA,NA,NA,4,25,NA,"Palaemonetes vulgaris",NA,NA,NA,NA,NA
"39","6179110401","American Grass Shrimp",NA,NA,127,133,NA,NA,"Periclimenes americanus",NA,NA,NA,NA,NA
"40","6179110403","Longtail Grass Shrimp",NA,NA,354,116,146,NA,"Periclimenes longicaudatus",NA,NA,NA,NA,NA
"41","6179110803","Florida Grass Shrimp",NA,NA,1,16,889,NA,"Palaemon floridanus",NA,NA,NA,NA,NA
"42","6179111301","Twoclaw Shrimp",NA,NA,1,11,NA,NA,"Brachycarpus biunguiculatus",NA,NA,NA,NA,NA
"43","6179140000","Snapping Shrimp",NA,131,101,101,177,NA,"Alpheidae spp.",NA,NA,NA,NA,NA
"44","6179150101","Estuarine Longeye Shrimp",NA,NA,NA,1,NA,NA,"Ogyrides alphaerostris",NA,NA,NA,NA,NA
"45","6179160100",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","6179160104","Zostera Shrimp",NA,NA,398,4,47,NA,"Hippolyte zostericola",NA,NA,NA,NA,NA
"47","6179160602","Sargassum Shrimp",NA,NA,NA,13,NA,NA,"Latreutes parvulus",NA,NA,NA,NA,NA
"48","6179161101","Peppermint Shrimp",NA,NA,NA,4,1,NA,"Lysmata wurdemanni",NA,NA,NA,NA,NA
"49","6179161109","Scarlet Cleaner Shrimp",NA,NA,NA,13,1,NA,"Lysmata amboinensis",NA,NA,NA,NA,NA
"50","6179161200","Arrow Shrimp",NA,NA,NA,3,NA,NA,"Tozeuma spp.",NA,NA,NA,NA,NA
"51","6179161201","Arrow Shrimp",NA,NA,1629,2,874,NA,"Tozeuma carolinense",NA,NA,NA,NA,NA
"52","6179161402","Manning Grass Shrimp",NA,NA,1,NA,NA,NA,"Thor manningi",NA,NA,NA,NA,NA
"53","6179161404","Squat Grass Shrimp",NA,NA,NA,NA,6,NA,"Thor dobkini",NA,NA,NA,NA,NA
"54","6179170301",NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"55","6182010101","Spiny Lobster",NA,13,6,NA,NA,NA,"Panulirus argus",NA,NA,NA,NA,NA
"56","6186020201","Calico Box Crab",NA,NA,NA,NA,NA,5,"Hepatus epheliticus",NA,NA,NA,NA,NA
"57","6189010000","Swimming Crabs",2,NA,NA,2,NA,1,"Portunidae spp.",NA,NA,NA,NA,NA
"58","6189010101","Speckled Swimming Crab",NA,NA,NA,NA,NA,1,"Arenaeus cribrarius",NA,NA,NA,NA,NA
"59","6189010300",NA,2,NA,4,29,NA,2,NA,NA,NA,NA,NA,NA
"60","6189010301","Blue Crab",3692,618,29344,35382,4528,34035,"Callinectes sapidus",NA,NA,NA,NA,NA
"61","6189010302","Lesser Blue Crab",274,2,13,36,NA,2846,"Callinectes similis",NA,NA,NA,NA,NA
"62","6189010304","Shelligs",2,290,1066,212,5,13,"Callinectes ornatus",NA,NA,NA,NA,NA
"63","6189010310","Masked Swimming Crab",NA,NA,NA,1,NA,NA,"Callinectes larvatus",NA,NA,NA,NA,NA
"64","6189010600","Portunus Crabs",235,3,38942,18584,29,10520,"Portunus spp.",NA,NA,NA,NA,NA
"65","6189010601","Iridescent Swimming Crab",NA,NA,523,1,NA,NA,"Portunus gibbesii",NA,NA,NA,NA,NA
"66","6189010604","Blotched Swimming Crab",NA,NA,48,NA,NA,NA,"Portunus spinimanus",NA,NA,NA,NA,NA
"67","6189021300","Stone Crab",454,2,8339,3842,8,7111,"Menippe spp.",NA,NA,NA,NA,NA
"68","6189021301","Florida Stone Crab",NA,NA,165,47,NA,28,"Menippe mercenaria",NA,NA,NA,NA,NA
"69","6191010101","Rough Mantis Shrimp",NA,NA,22,NA,NA,NA,"Squilla empusa",NA,NA,NA,NA,NA
"70","8500010100","Lancelet",NA,NA,18,NA,NA,NA,"Amphioxus spp.",NA,NA,NA,NA,NA
"71","8707100101","Nurse Shark",NA,7,29,1,NA,NA,"Ginglymostoma cirratum","Ginglymostoma",NA,"Ginglymostomatidae","Orectolobiformes","Elasmobranchii"
"72","8708020301","Atlantic Sharpnose Shark",1,NA,NA,4,1,110,"Rhizoprionodon terraenovae","Rhizoprionodon",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"73","8708020500",NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"74","8708020502","Bull Shark",NA,1,23,17,1,14,"Carcharhinus leucas","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"75","8708020504","Blacknose Shark",NA,NA,1,7,NA,NA,"Carcharhinus acronotus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"76","8708020507","Blacktip Shark",NA,NA,17,17,NA,54,"Carcharhinus limbatus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"77","8708020530","Spinner Shark",NA,NA,NA,NA,NA,2,"Carcharhinus brevipinna","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"78","8708020531","Finetooth Shark",NA,NA,NA,NA,NA,5,"Carcharhinus isodon","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"79","8708020801","Lemon Shark",NA,8,1,7,NA,1,"Negaprion brevirostris","Negaprion",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"80","8708030101","Bonnethead",1,35,249,553,11,593,"Sphyrna tiburo","Sphyrna",NA,"Sphyrnidae","Carcharhiniformes","Elasmobranchii"
"81","8708030103","Scalloped Hammerhead",NA,NA,NA,NA,NA,1,"Sphyrna lewini","Sphyrna",NA,"Sphyrnidae","Carcharhiniformes","Elasmobranchii"
"82","8708040201","Smooth Dogfish",NA,NA,NA,NA,NA,1,"Mustelus canis","Mustelus","Triakinae","Triakidae","Carcharhiniformes","Elasmobranchii"
"83","8713010101","Smalltooth Sawfish",NA,NA,18,1,NA,NA,"Pristis pectinata","Pristis",NA,"Pristidae","Pristiformes","Elasmobranchii"
"84","8713020101","Atlantic Guitarfish",NA,NA,6,83,NA,5,"Rhinobatos lentiginosus","Rhinobatos","Rhinobatinae","Rhinobatidae","Rajiformes","Elasmobranchii"
"85","8713040113","Clearnose Skate",NA,NA,22,3,NA,32,"Raja eglanteria","Raja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"86","8713040126","Freckled Skate",NA,NA,NA,NA,NA,1,"Leucoraja lentiginosa","Leucoraja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"87","8713040133","Roundel Skate",3,NA,NA,9,NA,13,"Raja texana","Raja",NA,"Rajidae","Rajiformes","Elasmobranchii"
"88","8713050100","Whiptail Stingrays",NA,NA,14,13,NA,NA,"Dasyatis spp.",NA,NA,NA,NA,NA
"89","8713050103","Southern Stingray",10,9,394,249,14,188,"Dasyatis americana","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"90","8713050105","Atlantic Stingray",243,2,3446,10351,333,47061,"Dasyatis sabina","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"91","8713050106","Bluntnose Stingray",60,1,471,920,16,3594,"Dasyatis say","Dasyatis",NA,"Dasyatidae","Myliobatiformes","Elasmobranchii"
"92","8713050202","Smooth Butterfly Ray",6,NA,110,391,27,1428,"Gymnura micrura","Gymnura",NA,"Gymnuridae","Myliobatiformes","Elasmobranchii"
"93","8713070101","Spotted Eagle Ray",1,NA,50,35,NA,30,"Aetobatus narinari","Aetobatus","Myliobatinae","Myliobatidae","Myliobatiformes","Elasmobranchii"
"94","8713070301","Cownose Ray",46,NA,1439,6950,246,2182,"Rhinoptera bonasus","Rhinoptera","Rhinopterinae","Myliobatidae","Myliobatiformes","Elasmobranchii"
"95","8713120101","Lesser Electric Ray",NA,NA,NA,NA,NA,27,"Narcine bancroftii","Narcine",NA,"Narcinidae","Torpediniformes","Elasmobranchii"
"96","8729010100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"97","8729010105","Atlantic Sturgeon",NA,NA,NA,NA,NA,29,"Acipenser oxyrinchus","Acipenser","Acipenserinae","Acipenseridae","Acipenseriformes","Actinopterygii"
"98","8732010000",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","8732010100","Gars",NA,NA,NA,NA,NA,1,"Lepisosteus spp.",NA,NA,NA,NA,NA
"100","8732010101","Longnose Gar",9,NA,286,173,38,595,"Lepisosteus osseus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"101","8732010102","Spotted Gar",1,NA,NA,NA,NA,21,"Lepisosteus oculatus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"102","8732010105","Florida Gar",NA,NA,39,48,2,18,"Lepisosteus platyrhincus","Lepisosteus",NA,"Lepisosteidae","Lepisosteiformes","Actinopterygii"
"103","8734010101","Bowfin",NA,NA,1,3,NA,1,"Amia calva","Amia",NA,"Amiidae","Amiiformes","Actinopterygii"
"104","8.737e+09",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"105","8738010000",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"106","8738010100",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"107","8738010101","Ladyfish",223,125,10260,37400,517,10811,"Elops saurus","Elops",NA,"Elopidae","Elopiformes","Actinopterygii"
"108","8738010199","Malacho",NA,NA,1,2,NA,10,"Elops smithi","Elops",NA,"Elopidae","Elopiformes","Actinopterygii"
"109","8738020201","Tarpon",NA,16,19,5,NA,14,"Megalops atlanticus","Megalops",NA,"Megalopidae","Elopiformes","Actinopterygii"
"110","8739010100",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","8739010101","Bonefish",NA,14,38,13,1,11,"Albula vulpes","Albula","Albulinae","Albulidae","Albuliformes","Actinopterygii"
"112","8739010103","Lagoon Bonefish",NA,1,NA,2,NA,NA,"Albula conorhynchus",NA,NA,NA,NA,NA
"113","8739010104","Channel Bonefish",NA,NA,NA,1,NA,NA,"Albula goreensis","Albula","Albulinae","Albulidae","Albuliformes","Actinopterygii"
"114","8741010000",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","8741010101","American Eel",NA,NA,3,NA,NA,3,"Anguilla rostrata","Anguilla",NA,"Anguillidae","Anguilliformes","Actinopterygii"
"116","8741050400",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","8741050404","Blackedge Moray",1,NA,NA,NA,NA,2,"Gymnothorax nigromarginatus","Gymnothorax","Muraeninae","Muraenidae","Anguilliformes","Actinopterygii"
"118","8741050407","Ocellated Moray",5,NA,2,NA,2,8,"Gymnothorax saxicola","Gymnothorax","Muraeninae","Muraenidae","Anguilliformes","Actinopterygii"
"119","8741130000",NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA
"120","8741130201","Whip Eel",NA,NA,1,NA,NA,NA,"Bascanichthys scuticaris","Bascanichthys","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"121","8741130802","Speckled Worm Eel",3,NA,36,12,4,905,"Myrophis punctatus","Myrophis","Myrophinae","Ophichthidae","Anguilliformes","Actinopterygii"
"122","8741131000",NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
"123","8741131001","Shrimp Eel",2,NA,2,2,NA,27,"Ophichthus gomesii","Ophichthus","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"124","8741133101","Spotted Spoon-nose Eel",NA,NA,NA,1,NA,NA,"Echiophis intertinctus","Echiophis","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"125","8741133102","Stippled Spoon-nose Eel",NA,NA,NA,NA,NA,1,"Echiophis punctifer","Echiophis","Ophichthinae","Ophichthidae","Anguilliformes","Actinopterygii"
"126","8747010000","Herrings",3,16,1,160,1,37,"Clupeidae spp.",NA,NA,NA,NA,NA
"127","8747010100",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"128","8747010104","Alabama Shad",NA,NA,NA,NA,NA,83,"Alosa alabamae","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii"
"129","8747010106","Skipjack Herring",NA,NA,NA,NA,NA,97,"Alosa chrysochloris","Alosa","Alosinae","Clupeidae","Clupeiformes","Actinopterygii"
"130","8747010400","Menhadens",3430,NA,8314,21917,6313,151325,"Brevoortia spp.",NA,NA,NA,NA,NA
"131","8747010500","Shad",NA,NA,1,58,NA,NA,"Dorosoma spp.",NA,NA,NA,NA,NA
"132","8747010501","Gizzard Shad",NA,NA,29,20,3,1006,"Dorosoma cepedianum","Dorosoma","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"133","8747010502","Threadfin Shad",6,NA,207,1282,12,2188,"Dorosoma petenense","Dorosoma","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"134","8747010701","Atlantic Thread Herring",259,1450,16144,25627,596,10052,"Opisthonema oglinum","Opisthonema","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"135","8747010800",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","8747010803","Scaled Sardine",7399,1751,80061,225385,1765,101031,"Harengula jaguana","Harengula","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"137","8747010900",NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","8747010901","Dwarf Herring",NA,2051,NA,NA,NA,NA,"Jenkinsia lamprotaenia","Jenkinsia","Incertae sedis","Clupeidae","Clupeiformes","Actinopterygii"
"139","8747010903","Shortband Herring",NA,566,NA,NA,NA,NA,"Jenkinsia stolifera","Jenkinsia","Incertae sedis","Clupeidae","Clupeiformes","Actinopterygii"
"140","8747011001","Spanish Sardine",11,NA,2775,14947,9,1474,"Sardinella aurita","Sardinella","Dorosomatinae","Clupeidae","Clupeiformes","Actinopterygii"
"141","8747020000",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"142","8747020103","Silver Anchovy",2,NA,NA,1,NA,1,"Engraulis eurystole","Engraulis","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"143","8747020200","Anchovies",29,NA,1414,2842,NA,1425,"Anchoa spp.",NA,NA,NA,NA,NA
"144","8747020201","Striped Anchovy",520,1,17483,33237,1660,73338,"Anchoa hepsetus","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"145","8747020202","Bay Anchovy",9507,4721,649611,1308502,32375,731251,"Anchoa mitchilli","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"146","8747020203","Cuban Anchovy",9,NA,NA,17459,36,15562,"Anchoa cubana","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"147","8747020204","Bigeye Anchovy",NA,2,NA,NA,NA,NA,"Anchoa lamprotaenia","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"148","8747020205","Dusky Anchovy",482,1,10,1497,2,3898,"Anchoa lyolepis","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Actinopterygii"
"149","8758010102","Pickerel",NA,NA,NA,NA,NA,1,"Esox americanus",NA,NA,NA,NA,NA
"150","8758010103","Chain Pickerel",2,NA,NA,NA,NA,1,"Esox niger","Esox",NA,"Esocidae","Esociformes","Actinopterygii"
"151","8762020000",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"152","8762020100",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"153","8762020101","Inshore Lizardfish",1036,28,10618,11900,674,8489,"Synodus foetens","Synodus","Synodontinae","Synodontidae","Aulopiformes","Actinopterygii"
"154","8762020301","Largescale Lizardfish",NA,NA,NA,NA,NA,1,"Saurida brasiliensis","Saurida","Harpadontinae","Synodontidae","Aulopiformes","Actinopterygii"
"155","8776010000","Carps and Minnows",NA,NA,NA,NA,NA,1,"Cyprinidae spp.",NA,NA,NA,NA,NA
"156","8776010101","Common Carp",NA,NA,NA,NA,NA,14,"Cyprinus carpio","Cyprinus","Cyprininae","Cyprinidae","Cypriniformes","Actinopterygii"
"157","8776010601","Golden Shiner",NA,NA,2,16,NA,400,"Notemigonus crysoleucas","Notemigonus","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"158","8776011100","Notropis Shiners",NA,NA,12,23,NA,115,"Notropis spp.",NA,NA,NA,NA,NA
"159","8776011104","Ironcolor Shiner",NA,NA,NA,NA,NA,16,"Notropis chalybaeus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"160","8776011124","Weed Shiner",NA,NA,NA,NA,NA,36,"Notropis texanus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"161","8776011178","Taillight Shiner",NA,NA,15,9,NA,2,"Notropis maculatus","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
