"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"162","8776011185","Coastal Shiner",98,NA,57,221,1,1810,"Notropis petersoni","Notropis","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"163","8776012301","Grass Carp",NA,NA,1,NA,NA,1,"Ctenopharyngodon idella","Ctenopharyngodon","Squaliobarbinae","Cyprinidae","Cypriniformes","Actinopterygii"
"164","8776017621","Blacktail Shiner",NA,NA,NA,NA,NA,1,"Cyprinella venusta","Cyprinella","Leuciscinae","Cyprinidae","Cypriniformes","Actinopterygii"
"165","8776018201","Pugnose Minnow",NA,NA,5,22,NA,4,"Opsopoeodus emiliae",NA,NA,NA,NA,NA
"166","8776040201","Quillback",NA,NA,NA,NA,NA,1,"Carpiodes cyprinus","Carpiodes","Ictiobinae","Catostomidae","Cypriniformes","Actinopterygii"
"167","8776040301","Lake Chubsucker",NA,NA,NA,NA,1,1,"Erimyzon sucetta","Erimyzon","Catostominae","Catostomidae","Cypriniformes","Actinopterygii"
"168","8776040801","Spotted Sucker",NA,NA,NA,NA,NA,5,"Minytrema melanops","Minytrema","Catostominae","Catostomidae","Cypriniformes","Actinopterygii"
"169","8777020000","Bullhead Catfishes",NA,NA,1,2,NA,11,"Ictaluridae spp.",NA,NA,NA,NA,NA
"170","8777020102","Blue Catfish",NA,NA,NA,NA,NA,65,"Ictalurus furcatus","Ictalurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"171","8777020105","Channel Catfish",NA,NA,223,124,NA,972,"Ictalurus punctatus","Ictalurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"172","8777020600","Bullheads",NA,NA,NA,NA,NA,1,"Ameiurus spp.",NA,NA,NA,NA,NA
"173","8777020602","White Catfish",NA,NA,326,76,NA,1170,"Ameiurus catus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"174","8777020604","Yellow Bullhead",NA,NA,2,NA,NA,3,"Ameiurus natalis","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"175","8777020605","Brown Bullhead",NA,NA,NA,1,NA,NA,"Ameiurus nebulosus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"176","8777020607","Spotted Bullhead",NA,NA,NA,NA,NA,1,"Ameiurus serracanthus","Ameiurus",NA,"Ictaluridae","Siluriformes","Actinopterygii"
"177","8777120101","Walking Catfish",NA,NA,1,1,NA,NA,"Clarias batrachus","Clarias",NA,"Clariidae","Siluriformes","Actinopterygii"
"178","8777180101","Gafftopsail Catfish",79,1,2664,2453,312,8459,"Bagre marinus","Bagre","Bagreinae","Ariidae","Siluriformes","Actinopterygii"
"179","8777180202","Hardhead Catfish",209,200,30609,35630,1406,51582,"Ariopsis felis","Ariopsis","Ariinae","Ariidae","Siluriformes","Actinopterygii"
"180","8777300000","Suckermouth Catfish",NA,NA,8,11,NA,NA,"Loricariidae spp.",NA,NA,NA,NA,NA
"181","8777300300",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"182","8777300301","Brown Hoplo",NA,NA,24,1,NA,1,"Hoplosternum littorale","Hoplosternum","Callichthyinae","Callichthyidae","Siluriformes","Actinopterygii"
"183","8777301000","Armoured Catfishes",NA,NA,13,22,NA,NA,"Pterygoplichthys spp.",NA,NA,NA,NA,NA
"184","8777302001","Vermiculated Catfish",NA,NA,1,4,NA,NA,"Pterygoplichthys disjunctivus","Pterygoplichthys","Hypostominae","Loricariidae","Siluriformes","Actinopterygii"
"185","8781010101","Pirate Perch",NA,NA,NA,NA,NA,2,"Aphredoderus sayanus","Aphredoderus",NA,"Aphredoderidae","Percopsiformes","Actinopterygii"
"186","8783010108","Atlantic Midshipman",NA,NA,NA,NA,NA,632,"Porichthys plectrodon","Porichthys","Porichthyinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"187","8783010202","Gulf Toadfish",3737,816,3827,4145,510,4536,"Opsanus beta","Opsanus","Batrachoidinae","Batrachoididae","Batrachoidiformes","Actinopterygii"
"188","8784010000",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","8784010102","Skilletfish",6,NA,291,331,5,145,"Gobiesox strumosus","Gobiesox","Gobiesocinae","Gobiesocidae","Gobiesociformes","Actinopterygii"
"190","8787020101","Sargassumfish",1,NA,NA,NA,NA,NA,"Histrio histrio","Histrio","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"191","8787020203","Singlespot Frogfish",NA,NA,NA,NA,NA,8,"Fowlerichthys radiosus","Fowlerichthys","Antennariinae","Antennariidae","Lophiiformes","Actinopterygii"
"192","8787040100","Batfishes",1,NA,1,1,1,NA,"Ogcocephalus spp.",NA,NA,NA,NA,NA
"193","8787040105","Roughback Batfish",NA,NA,NA,NA,NA,2,"Ogcocephalus parvus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"194","8787040106","Spotted Batfish",1,NA,60,4,18,4113,"Ogcocephalus pantostictus","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"195","8787040109","Longnose Batfish",NA,NA,NA,NA,NA,4,"Ogcocephalus corniger","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"196","8787040113","Polka-dot Batfish",35,1,745,254,21,7660,"Ogcocephalus cubifrons","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Actinopterygii"
"197","8791031000",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"198","8791031002","Spotted Hake",3,NA,NA,NA,NA,122,"Urophycis regia","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"199","8791031007","Southern Hake",18,NA,243,254,6,2139,"Urophycis floridana","Urophycis",NA,"Phycidae","Gadiformes","Actinopterygii"
"200","8792010401","Bearded Brotula",NA,NA,NA,NA,NA,1,"Brotula barbata","Brotula","Brotulinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"201","8792010603","Bank Cusk-eel",82,NA,NA,4,3,48,"Ophidion holbrookii","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"202","8792010605","Crested Cusk-eel",NA,NA,NA,NA,NA,2,"Ophidion josephi","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"203","8792010703","Sleeper Cusk-eel",NA,NA,9,NA,NA,NA,"Otophidium dormitator","Otophidium","Ophidiinae","Ophidiidae","Ophidiiformes","Actinopterygii"
"204","8792012301","Gold Brotula",NA,NA,NA,NA,NA,15,"Gunterichthys longipenis","Gunterichthys","Brosmophycinae","Bythitidae","Ophidiiformes","Actinopterygii"
"205","8792012401","Key Brotula",NA,14,NA,NA,NA,NA,"Ogilbia cayorum","Ogilbia","Brosmophycinae","Bythitidae","Ophidiiformes","Actinopterygii"
"206","8803010200",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"207","8803010201","Ballyhoo",11,NA,60,30,4,29,"Hemiramphus brasiliensis","Hemiramphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"208","8803010202","Balao",NA,NA,NA,1,NA,NA,"Hemiramphus balao","Hemiramphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"209","8803010300","Halfbeaks",1,1,207,406,4,28,"Hyporhamphus spp.",NA,NA,NA,NA,NA
"210","8803010301","Halfbeak",NA,NA,25,29,2,5,"Hyporhamphus unifasciatus","Hyporhamphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"211","8803010399","False Silver Halfbeak",31,3,610,1291,40,2031,"Hyporhamphus meeki","Hyporhamphus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"212","8803010401","Hardhead Halfbeak",NA,351,NA,NA,NA,NA,"Chriodorus atherinoides","Chriodorus",NA,"Hemiramphidae","Beloniformes","Actinopterygii"
"213","8803020000",NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"214","8803020200","Needlefishes",2,8,416,552,20,344,"Strongylura spp.",NA,NA,NA,NA,NA
"215","8803020201","Atlantic Needlefish",174,NA,1664,2239,96,4162,"Strongylura marina","Strongylura",NA,"Belonidae","Beloniformes","Actinopterygii"
"216","8803020202","Redfin Needlefish",49,767,13635,20138,755,759,"Strongylura notata",NA,NA,NA,NA,NA
"217","8803020203","Timucu",NA,44,524,415,231,464,"Strongylura timucu","Strongylura",NA,"Belonidae","Beloniformes","Actinopterygii"
"218","8803020300",NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"219","8803020301","Agujon",NA,NA,NA,NA,NA,2,"Tylosurus acus",NA,NA,NA,NA,NA
"220","8803020302","Houndfish",43,17,133,107,4,117,"Tylosurus crocodilus","Tylosurus",NA,"Belonidae","Beloniformes","Actinopterygii"
"221","8803020401","Keeltail Needlefish",5,NA,NA,NA,NA,20,"Platybelone argalus",NA,NA,NA,NA,NA
"222","8803040000","halfbeaks",NA,NA,NA,5,NA,NA,"Hemiramphidae spp.",NA,NA,NA,NA,NA
"223","8804040101","Sheepshead Minnow",128,673,6509,18612,3303,1277,"Cyprinodon variegatus",NA,NA,NA,NA,NA
"224","8804040200","Assorted Killifish",NA,NA,NA,16,NA,7,"Fundulus spp.",NA,NA,NA,NA,NA
"225","8804040201","Marsh Killifish",3,NA,494,690,NA,53,"Fundulus confluentus","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"226","8804040205","Striped Killifish",NA,NA,NA,10,NA,NA,"Fundulus majalis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"227","8804040207","Gulf Killifish",56,NA,5366,12127,933,4641,"Fundulus grandis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"228","8804040208","Golden Topminnow",NA,NA,4,5,NA,25,"Fundulus chrysotus","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"229","8804040213","Longnose Killifish",94,NA,6644,29403,323,13531,"Fundulus similis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"230","8804040223","Seminole Killifish",NA,NA,2489,1649,38,1006,"Fundulus seminolis","Fundulus",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"231","8804040300",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","8804040301","Rainwater Killifish",2764,16342,244893,184765,19295,33959,"Lucania parva","Lucania",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"233","8804040302","Bluefin Killifish",NA,NA,90,55,13,122,"Lucania goodei","Lucania",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"234","8804040401","Diamond Killifish",28,NA,1314,2782,37,329,"Adinia xenica","Adinia",NA,"Fundulidae","Cyprinodontiformes","Actinopterygii"
"235","8804040501","Goldspotted Killifish",NA,51909,27036,63652,4308,443,"Floridichthys carpio","Floridichthys","Cyprinodontinae","Cyprinodontidae","Cyprinodontiformes","Actinopterygii"
"236","8804040801","Flagfish",NA,NA,21,8,NA,NA,"Jordanella floridae","Jordanella","Cyprinodontinae","Cyprinodontidae","Cyprinodontiformes","Actinopterygii"
"237","8804080101","Western Mosquitofish",NA,NA,NA,NA,1,NA,"Gambusia affinis","Gambusia","Poeciliinae","Poeciliidae","Cyprinodontiformes","Actinopterygii"
"238","8804080116","Eastern Mosquito Fish",61,NA,12996,12764,15,774,"Gambusia holbrooki","Gambusia","Poeciliinae","Poeciliidae","Cyprinodontiformes","Actinopterygii"
"239","8804080201","Sailfin Molly",35,166,7509,5578,114,83,"Poecilia latipinna","Poecilia","Poeciliinae","Poeciliidae","Cyprinodontiformes","Actinopterygii"
"240","8804080301","Pike Killifish",NA,NA,NA,22,NA,NA,"Belonesox belizanus","Belonesox","Poeciliinae","Poeciliidae","Cyprinodontiformes","Actinopterygii"
"241","8804080401","Least Killifish",5,NA,82,38,NA,20,"Heterandria formosa","Heterandria","Poeciliinae","Poeciliidae","Cyprinodontiformes","Actinopterygii"
"242","8805020000",NA,NA,30,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"243","8805020200",NA,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA
"244","8805020201","Rough Silverside",121,16,9289,7746,1826,68701,"Membras martinica","Membras","Menidiinae","Atherinopsidae","Atheriniformes","Actinopterygii"
"245","8805020300","Menidia Silversides",7586,694,198583,410035,17317,85049,"Menidia spp.",NA,NA,NA,NA,NA
"246","8805020301","Inland Silverside",NA,NA,NA,NA,NA,314,"Menidia beryllina","Menidia","Menidiinae","Atherinopsidae","Atheriniformes","Actinopterygii"
"247","8805020304","Tidewater Silverside",NA,NA,NA,NA,NA,381,"Menidia peninsulae","Menidia","Menidiinae","Atherinopsidae","Atheriniformes","Actinopterygii"
"248","8805020501","Hardhead Silverside",NA,19258,NA,NA,NA,NA,"Atherinomorus stipes","Atherinomorus","Atherinomorinae","Atherinidae","Atheriniformes","Actinopterygii"
"249","8805020801","Brook Silverside",52,NA,159,388,51,82,"Labidesthes sicculus","Labidesthes","Menidiinae","Atherinopsidae","Atheriniformes","Actinopterygii"
"250","8805021201","Reef Silverside",NA,124,18,NA,NA,NA,"Hypoatherina harringtonensis","Hypoatherina","Atherinomorinae","Atherinidae","Atheriniformes","Actinopterygii"
"251","8805030000","Atherinopsidae spp",NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA
"252","8810080300",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","8819020100",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"254","8819020101","Bluespotted Cornetfish",3,NA,5,3,NA,NA,"Fistularia tabacaria","Fistularia",NA,"Fistulariidae","Syngnathiformes","Actinopterygii"
"255","8820020000",NA,2,NA,2,5,NA,2,NA,NA,NA,NA,NA,NA
"256","8820020100","Pipefishes",3,NA,NA,12,NA,8,"Syngnathus spp.",NA,NA,NA,NA,NA
"257","8820020102","Dusky Pipefish",11891,513,4491,4599,449,11173,"Syngnathus floridae","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"258","8820020103","Northern Pipefish",NA,NA,NA,NA,NA,1,"Syngnathus fuscus","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"259","8820020104","Chain Pipefish",332,27,3419,4054,62,2555,"Syngnathus louisianae","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"260","8820020108","Sargassum Pipefish",NA,NA,NA,NA,NA,1,"Syngnathus pelagicus","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"261","8820020109","Bull Pipefish",NA,NA,3,2,NA,16,"Syngnathus springeri","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"262","8820020113","Gulf Pipefish",2174,1587,23720,17214,712,6627,"Syngnathus scovelli","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"263","8820020200",NA,1,5,NA,5,NA,3,NA,NA,NA,NA,NA,NA
"264","8820020201","Lined Seahorse",128,55,1120,801,11,480,"Hippocampus erectus","Hippocampus","Hippocampinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"265","8820020205","Dwarf Seahorse",30,1037,1238,1063,11,68,"Hippocampus zosterae","Hippocampus","Hippocampinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"266","8820020601","Opposum Pipefish",NA,NA,6,NA,NA,NA,"Microphis brachyurus","Microphis","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"267","8820022300",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","8820022301","Whitenose Pipefish",3,16,1,NA,NA,3,"Cosmocampus albirostris","Cosmocampus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"269","8820022305","Shortfin Pipefish",1,NA,NA,NA,NA,NA,"Cosmocampus elucens","Cosmocampus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"270","8820023901","Fringed Pipefish",508,298,334,112,28,555,"Anarchopterus criniger","Anarchopterus","Syngnathinae","Syngnathidae","Syngnathiformes","Actinopterygii"
"271","8824010000","Swamp Eels",NA,NA,NA,1,NA,NA,"Synbranchidae spp.",NA,NA,NA,NA,NA
"272","8826010000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"273","8826010600",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"274","8826010605","Barbfish",142,NA,837,278,252,274,"Scorpaena brasiliensis","Scorpaena","Scorpaeninae","Scorpaenidae","Scorpaeniformes","Actinopterygii"
"275","8826010606","Smoothhead Scorpionfish",NA,NA,NA,1,NA,NA,"Scorpaena calcarata","Scorpaena","Scorpaeninae","Scorpaenidae","Scorpaeniformes","Actinopterygii"
"276","8826010614","Spotted Scorpionfish",1,NA,NA,NA,NA,NA,"Scorpaena plumieri","Scorpaena","Scorpaeninae","Scorpaenidae","Scorpaeniformes","Actinopterygii"
"277","8826020100","Searobins",NA,NA,NA,5,NA,20,"Prionotus spp.",NA,NA,NA,NA,NA
"278","8826020103","Leopard Searobin",331,5,18110,22267,63,12243,"Prionotus scitulus","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"279","8826020104","Bighead Searobin",93,NA,3705,2792,178,6074,"Prionotus tribulus","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"280","8826020105","Spiny Searobin",NA,NA,NA,NA,NA,1,"Prionotus alatus","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"281","8826020111","Barred Searobin",1,NA,NA,NA,NA,627,"Prionotus martis","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"282","8826020118","Blackfin Searobin",NA,NA,32,1,NA,103,"Prionotus rubio","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"283","8826020123","Bigeye Searobin",1,NA,NA,NA,NA,165,"Prionotus longispinosus","Prionotus","Prionotinae","Triglidae","Scorpaeniformes","Actinopterygii"
"284","8832010101","Flying Gurnard",NA,NA,1,NA,NA,NA,"Dactylopterus volitans","Dactylopterus",NA,"Dactylopteridae","Scorpaeniformes","Actinopterygii"
"285","8835010105","Common Snook",NA,127,16409,26876,533,369,"Centropomus undecimalis","Centropomus",NA,"Centropomidae","Perciformes","Actinopterygii"
"286","8835020000","Sea Basses",NA,NA,NA,NA,1,4,"Serranidae spp.",NA,NA,NA,NA,NA
"287","8835020300",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","8835020301","Black Sea Bass",9975,NA,888,2036,415,14419,"Centropristis striata","Centropristis","Serraninae","Serranidae","Perciformes","Actinopterygii"
"289","8835020304","Bank Sea Bass",NA,NA,NA,NA,NA,5,"Centropristis ocyurus","Centropristis","Serraninae","Serranidae","Perciformes","Actinopterygii"
"290","8835020305","Rock Sea Bass",25,NA,NA,NA,1,173,"Centropristis philadelphica","Centropristis","Serraninae","Serranidae","Perciformes","Actinopterygii"
"291","8835020401","Goliath Grouper",NA,NA,100,26,NA,NA,"Epinephelus itajara","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii"
"292","8835020408","Red Grouper",13,NA,188,30,3,11,"Epinephelus morio","Epinephelus","Epinephelinae","Serranidae","Perciformes","Actinopterygii"
"293","8835020500",NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA
"294","8835020501","Gag",159,NA,2939,1744,186,1326,"Mycteroperca microlepis","Mycteroperca","Epinephelinae","Serranidae","Perciformes","Actinopterygii"
"295","8835020502","Black Grouper",NA,NA,4,1,NA,NA,"Mycteroperca bonaci","Mycteroperca","Epinephelinae","Serranidae","Perciformes","Actinopterygii"
